date,close
11/1/1906,1
1/1/1910,1
6/1/1910,1
4/1/1916,1
6/1/1920,1
12/1/1925,1
7/1/1929,1
6/1/1930,1
2/1/1931,1
6/1/1931,1
4/1/1933,1
9/1/1934,1
9/1/1936,1
10/1/1936,1
6/1/1937,1
8/1/1937,1
6/1/1939,2
7/1/1939,1
6/1/1941,1
6/1/1942,1
7/1/1942,1
1/1/1943,1
4/1/1943,1
6/1/1943,3
8/1/1943,3
10/1/1943,1
1/1/1944,1
4/1/1944,2
6/1/1944,4
7/1/1944,2
4/1/1945,1
6/1/1945,3
7/1/1945,2
8/1/1945,2
12/1/1945,1
1/1/1946,1
2/1/1946,1
3/1/1946,1
6/1/1946,3
7/1/1946,1
9/1/1946,2
12/1/1946,1
1/1/1947,3
2/1/1947,1
4/1/1947,2
6/1/1947,10
7/1/1947,17
8/1/1947,3
12/1/1947,1
5/1/1948,1
6/1/1948,3
7/1/1948,1
8/1/1948,2
12/1/1948,1
4/1/1949,1
5/1/1949,2
6/1/1949,2
7/1/1949,3
8/1/1949,4
9/1/1949,1
10/1/1949,3
1/1/1950,1
4/1/1950,2
6/1/1950,14
7/1/1950,6
8/1/1950,2
10/1/1950,2
12/1/1950,1
1/1/1951,1
2/1/1951,2
3/1/1951,1
6/1/1951,7
7/1/1951,5
8/1/1951,2
11/1/1951,1
12/1/1951,1
2/1/1952,2
4/1/1952,2
5/1/1952,1
6/1/1952,17
7/1/1952,15
8/1/1952,4
9/1/1952,2
10/1/1952,4
12/1/1952,2
1/1/1953,2
4/1/1953,6
5/1/1953,1
6/1/1953,8
7/1/1953,6
8/1/1953,4
10/1/1953,2
11/1/1953,4
1/1/1954,1
2/1/1954,2
4/1/1954,1
5/1/1954,2
6/1/1954,20
7/1/1954,10
8/1/1954,7
9/1/1954,3
10/1/1954,3
11/1/1954,2
12/1/1954,2
2/1/1955,2
5/1/1955,2
6/1/1955,15
7/1/1955,4
8/1/1955,4
10/1/1955,5
1/1/1956,1
3/1/1956,3
5/1/1956,3
6/1/1956,19
7/1/1956,7
8/1/1956,2
9/1/1956,4
10/1/1956,4
11/1/1956,1
12/1/1956,1
1/1/1957,1
3/1/1957,4
5/1/1957,3
6/1/1957,19
7/1/1957,14
8/1/1957,12
9/1/1957,8
10/1/1957,7
11/1/1957,2
12/1/1957,2
1/1/1958,2
2/1/1958,1
4/1/1958,3
5/1/1958,4
6/1/1958,19
7/1/1958,5
8/1/1958,4
